engine,phase,rate,start_ms,end_ms,duration_s,grafana_url
vllm,warmup,-,1786586793779,1786586809784,16,http://localhost:3000/d/nano-vllm-vs-vllm?from=1786586748779&to=1786586854784&var-job=vllm
vllm,measured,1,1786586854802,1786587068261,213,http://localhost:3000/d/nano-vllm-vs-vllm?from=1786586809802&to=1786587113261&var-job=vllm
vllm,measured,2,1786587113281,1786587226895,113,http://localhost:3000/d/nano-vllm-vs-vllm?from=1786587068281&to=1786587271895&var-job=vllm
vllm,measured,4,1786587271916,1786587335779,63,http://localhost:3000/d/nano-vllm-vs-vllm?from=1786587226916&to=1786587380779&var-job=vllm
vllm,measured,8,1786587380801,1786587436035,55,http://localhost:3000/d/nano-vllm-vs-vllm?from=1786587335801&to=1786587481035&var-job=vllm
vllm,measured,inf,1786587481056,1786587535672,54,http://localhost:3000/d/nano-vllm-vs-vllm?from=1786587436056&to=1786587580672&var-job=vllm
nano-vllm,warmup,-,1786587635804,1786587659790,23,http://localhost:3000/d/nano-vllm-vs-vllm?from=1786587590804&to=1786587704790&var-job=nano-vllm
nano-vllm,measured,1,1786587704808,1786588255267,550,http://localhost:3000/d/nano-vllm-vs-vllm?from=1786587659808&to=1786588300267&var-job=nano-vllm
nano-vllm,measured,2,1786588300290,1786588851482,551,http://localhost:3000/d/nano-vllm-vs-vllm?from=1786588255290&to=1786588896482&var-job=nano-vllm
nano-vllm,measured,4,1786588896502,1786589442142,545,http://localhost:3000/d/nano-vllm-vs-vllm?from=1786588851502&to=1786589487142&var-job=nano-vllm
nano-vllm,measured,8,1786589487162,1786590036151,548,http://localhost:3000/d/nano-vllm-vs-vllm?from=1786589442162&to=1786590081151&var-job=nano-vllm
nano-vllm,measured,inf,1786590081173,1786590624145,542,http://localhost:3000/d/nano-vllm-vs-vllm?from=1786590036173&to=1786590669145&var-job=nano-vllm
all,full-sweep,-,1786586756355,1786590630235,3873,http://localhost:3000/d/nano-vllm-vs-vllm?from=1786586711355&to=1786590675235&var-job=all
